Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Season
1.0,Tracy McGrady (2002-03),23.0,ORL,SG,75.0,74.0,39.4,11.1,24.2,0.457,2.3,6.0,0.386,8.7,18.2,0.481,0.505,7.7,9.7,0.793,1.6,4.9,6.5,5.5,1.7,0.8,2.6,2.1,32.1,"MVP-4,AS,NBA1",2002-03
2.0,Kobe Bryant (2002-03),24.0,LAL,SG,82.0,82.0,41.5,10.6,23.5,0.451,1.5,4.0,0.383,9.1,19.5,0.465,0.483,7.3,8.7,0.843,1.3,5.6,6.9,5.9,2.2,0.8,3.5,2.7,30.0,"MVP-3,DPOY-8,AS,NBA1,DEF1",2002-03
3.0,Allen Iverson (2002-03),27.0,PHI,SG,82.0,82.0,42.5,9.8,23.7,0.414,1.0,3.7,0.277,8.8,20.0,0.44,0.436,7.0,9.0,0.774,0.8,3.4,4.2,5.5,2.7,0.2,3.5,1.8,27.6,"MVP-6,DPOY-6,AS,NBA2",2002-03
4.0,Shaquille O'Neal (2002-03),30.0,LAL,C,67.0,66.0,37.8,10.4,18.1,0.574,0.0,0.0,,10.4,18.1,0.574,0.574,6.7,10.8,0.622,3.9,7.2,11.1,3.1,0.6,2.4,2.9,3.4,27.5,"MVP-5,DPOY-13,AS,NBA1,DEF2",2002-03
5.0,Paul Pierce (2002-03),25.0,BOS,SG,79.0,79.0,39.2,8.4,20.2,0.416,1.5,4.9,0.302,6.9,15.2,0.454,0.454,7.6,9.5,0.802,1.3,6.0,7.3,4.4,1.8,0.8,3.6,2.9,25.9,"MVP-11,AS,NBA3",2002-03
6.0,Dirk Nowitzki (2002-03),24.0,DAL,PF,80.0,80.0,39.0,8.6,18.6,0.463,1.9,4.9,0.379,6.8,13.7,0.493,0.513,6.0,6.9,0.881,1.0,8.9,9.9,3.0,1.4,1.0,1.9,2.6,25.1,"MVP-7,AS,NBA2",2002-03
7.0,Tim Duncan (2002-03),26.0,SAS,PF,81.0,81.0,39.3,8.8,17.2,0.513,0.1,0.3,0.273,8.7,16.9,0.517,0.515,5.6,7.8,0.71,3.2,9.7,12.9,3.9,0.7,2.9,3.1,2.9,23.3,"MVP-1,DPOY-4,AS,NBA1,DEF1",2002-03
8.0,Kevin Garnett (2002-03),26.0,MIN,PF,82.0,82.0,40.5,9.1,18.1,0.502,0.2,0.9,0.282,8.8,17.2,0.513,0.508,4.6,6.1,0.751,3.0,10.5,13.4,6.0,1.4,1.6,2.8,2.4,23.0,"MVP-2,DPOY-3,AS,NBA1,DEF1",2002-03
9.0,Chris Webber (2002-03),29.0,SAC,PF,67.0,67.0,39.1,9.9,21.4,0.461,0.1,0.3,0.238,9.8,21.1,0.465,0.463,3.2,5.3,0.607,2.4,8.1,10.5,5.4,1.6,1.3,3.2,3.0,23.0,"MVP-10,AS,NBA2",2002-03
10.0,Ray Allen (2002-03),27.0,2TM,SG,76.0,75.0,37.9,7.9,17.9,0.439,2.6,7.0,0.377,5.2,10.9,0.478,0.512,4.2,4.5,0.916,1.2,3.8,5.0,4.4,1.4,0.2,2.6,2.9,22.5,,2002-03
10.0,Ray Allen (2002-03),27.0,MIL,SG,47.0,46.0,35.8,7.5,17.1,0.437,2.6,6.6,0.395,4.9,10.5,0.463,0.514,3.8,4.1,0.913,1.0,3.7,4.6,3.5,1.2,0.2,2.5,3.2,21.3,,2002-03
10.0,Ray Allen (2002-03),27.0,SEA,SG,29.0,29.0,41.3,8.5,19.3,0.441,2.7,7.7,0.351,5.8,11.7,0.5,0.511,4.8,5.2,0.92,1.7,3.9,5.6,5.9,1.6,0.1,2.8,2.4,24.5,,2002-03
